customer_id,departamento,mensaje,resumen,solucionado
15,RRHH,Nuestro plan de beneficios es insuficiente,Nuestro plan de beneficios es insuficiente para satisfacer las necesidades de los empleados.,False
4,Legales,No se nos ha dado suficiente información sobre los procesos de litigio de la empresa,La empresa carece de información suficiente sobre sus procesos de litigio.,False
6,Marketing,No hemos recibido ningún lead de marketing en semanas,No hay nuevos leads de marketing en las últimas semanas.,False
9,RRHH,La empresa no está cumpliendo con el salario mínimo,La compañía está incumpliendo el salario mínimo establecido.,False
10,Legales,No estoy de acuerdo con las políticas de la empresa,No se aceptan las políticas de la empresa.,False
4,IT,La base de datos está desactualizada,La base de datos no contiene la información más reciente.,False
15,Legales,La empresa no está respetando mis derechos de propiedad intelectual,La empresa está incumpliendo con sus responsabilidades de respetar los derechos de propiedad intelectual del empleado.,False
12,Marketing,No sabemos cómo mejorar nuestro SEO,Necesitamos encontrar maneras de mejorar nuestro SEO para tener mayor visibilidad en los resultados de búsqueda.,False
19,Marketing,No sabemos cómo mejorar nuestro SEO,La empresa está buscando nuevas formas de aumentar el índice de búsqueda (SEO) para mejorar el posicionamiento de su sitio web.,False
1,Marketing,No hemos recibido ningún lead de marketing en semanas,No hay nuevos leads de marketing receptados en varias semanas.,False
13,RRHH,La empresa no está respetando mis derechos como trabajador,La empresa no cumple con los derechos laborales del trabajador.,False
4,RRHH,La empresa no está respetando mis derechos como trabajador,La empresa está incumpliendo los derechos del trabajador.,False
2,IT,No puedo imprimir desde mi computadora,La computadora no imprime.,False
11,Legales,No se nos ha dado suficiente información sobre los procesos de litigio de la empresa,La empresa carece de información sobre sus procesos de litigio.,False
1,Marketing,No sabemos cómo medir el éxito de nuestras campañas,Estamos buscando una forma de medir el éxito de nuestras campañas.,False
1,RRHH,No me han pagado a tiempo,No recibí el pago a tiempo.,False
7,IT,No puedo acceder a la red desde mi computadora,La computadora no tiene acceso a la red.,False
14,Marketing,No sabemos cómo medir el éxito de nuestras campañas,La eficacia de las campañas publicitarias no es fácil de medir.,False
5,IT,No puedo imprimir desde mi computadora,Problema de impresión desde computadora.,False
17,IT,Mi computadora se congela constantemente,La computadora se congela con frecuencia.,False
8,RRHH,No se nos ha dado suficiente información sobre las políticas de seguridad de datos,Se solicita mayor información sobre las políticas de seguridad de datos para poder evaluar plenamente la seguridad de los datos.,False
20,Legales,La empresa no está cumpliendo con el salario mínimo,La empresa está incumpliendo con el pago del salario mínimo establecido.,False
19,Marketing,No estamos llegando a nuestro público objetivo,Tenemos problemas alcanzando al grupo al que nos dirigimos.,False
18,RRHH,No estoy de acuerdo con el trato que se le da a los empleados,Estoy en desacuerdo con la forma en que se tratan a los empleados.,False
7,Marketing,No estamos llegando a nuestro público objetivo,No estamos alcanzando los resultados deseados con nuestro público objetivo.,False
11,RRHH,No se nos ha dado suficiente información sobre los protocolos de salud y seguridad,Se solicita información adicional sobre los protocolos de salud y seguridad.,False
8,RRHH,No tenemos suficiente personal para manejar la carga de trabajo,Existe una falta de personal para realizar el trabajo que se requiere.,False
17,Legales,No se nos ha dado suficiente información sobre los derechos de propiedad intelectual,No hay suficiente información sobre los derechos de propiedad intelectual.,False
20,Legales,No se nos ha dado suficiente información sobre las políticas de privacidad,No se ha proporcionado información suficiente sobre las políticas de privacidad.,False
17,Legales,No estoy de acuerdo con el uso que la empresa hace de mi información personal,No estoy satisfecho con el uso que la empresa hace con mis datos personales.,False
8,RRHH,No se nos ha dado suficiente información sobre los derechos de los empleados,Los empleados no han recibido la información adecuada sobre sus derechos.,False
15,Marketing,No estamos llegando a nuestro público objetivo,No estamos alcanzando los resultados deseados con nuestra estrategia de marketing dirigida a nuestro público objetivo.,False
4,Legales,No se nos ha dado suficiente información sobre los derechos de propiedad intelectual,Se ha informado insuficientemente sobre los derechos de propiedad intelectual.,False
9,Legales,No estoy de acuerdo con los términos del contrato,Rechazo los términos del contrato.,False
9,RRHH,No tenemos suficiente personal para manejar la carga de trabajo,La cantidad de personal actual no es suficiente para completar la carga de trabajo.,False
9,RRHH,No tenemos suficiente personal para manejar la carga de trabajo,El equipo actual no es suficiente para cumplir con el volumen de trabajo.,False
